Location,Age,year,Female,Male
More developed regions,25-29,2020,0.030706680091038604,0.03203943121292133
More developed regions,25-29,2025,0.027963280587935097,0.029067453659846025
More developed regions,25-29,2030,0.027464836921698776,0.028504488308004304
More developed regions,25-29,2035,0.02871405890322155,0.029790108264850994
More developed regions,25-29,2040,0.028665087194624617,0.02973239600730182
More developed regions,25-29,2045,0.027914363565589722,0.028917866874270143
More developed regions,25-29,2050,0.027215976123321172,0.028187138158151746
More developed regions,25-29,2055,0.026734391594196754,0.027688882923318083
More developed regions,25-29,2060,0.026601797706700757,0.027558259744154295
More developed regions,25-29,2065,0.026868700974519048,0.027845441691514972
More developed regions,25-29,2070,0.02719032269123839,0.028190136920332984
More developed regions,25-29,2075,0.027246597677063666,0.028254307981561862
More developed regions,25-29,2080,0.027017981757404785,0.028016388640312685
More developed regions,25-29,2085,0.026706944657686648,0.027691654722870433
More developed regions,25-29,2090,0.026485176585270123,0.027461581212495083
More developed regions,25-29,2095,0.02643069431131754,0.027406898725627054
More developed regions,25-29,2100,0.026481619741910493,0.027463700386644023
More developed regions,30-34,1950,0.03329569720919958,0.028767089663974867
More developed regions,30-34,1955,0.03919577062341659,0.0340305172194394
More developed regions,30-34,1960,0.03884563128516007,0.03716504155094424
More developed regions,30-34,1965,0.034283237329095904,0.03451393716688185
More developed regions,30-34,1970,0.0352668889873896,0.03551380183310476
More developed regions,30-34,1975,0.03172506280915745,0.03223440358484339
More developed regions,30-34,1980,0.037449013318856715,0.03795495630240618
More developed regions,30-34,1985,0.03875087238352222,0.03934292701042913
More developed regions,30-34,1990,0.03916421506577856,0.039887037214864994
More developed regions,30-34,1995,0.03842305982145911,0.03926702466053289
More developed regions,30-34,2000,0.03602693121029721,0.036811204676020164
More developed regions,30-34,2005,0.03536098655821054,0.035848079827061216
More developed regions,30-34,2010,0.03407927643087608,0.034323046920555114
More developed regions,30-34,2015,0.03402383697843181,0.0345840704302577
More developed regions,30-34,2020,0.03369260806122016,0.034679802027163933
More developed regions,30-34,2025,0.031023751816228146,0.03219191230290706
More developed regions,30-34,2030,0.028411176291282793,0.029379288464768494
More developed regions,30-34,2035,0.02800290362526154,0.028912809723262774
More developed regions,30-34,2040,0.029314483240765913,0.030262166465996037
More developed regions,30-34,2045,0.02931490852471779,0.03025924484235111
More developed regions,30-34,2050,0.028603573688774992,0.029494261315248727
More developed regions,30-34,2055,0.02794006485203422,0.028806642506104898
More developed regions,30-34,2060,0.027482500374851046,0.02833952824009407
More developed regions,30-34,2065,0.027357468059547065,0.02822233189506742
More developed regions,30-34,2070,0.027615283603604754,0.028503475829451147
More developed regions,30-34,2075,0.027917337339628787,0.028831400221071952
More developed regions,30-34,2080,0.027946564364739544,0.028870331504793397
More developed regions,30-34,2085,0.027690047032968092,0.028608841812155904
More developed regions,30-34,2090,0.027354611018573404,0.02826265123614917
More developed regions,30-34,2095,0.02711580647028929,0.028018031637385896
More developed regions,30-34,2100,0.027053830395797788,0.02795875904225438
More developed regions,35-39,1950,0.03883679831128348,0.033134925505019515
More developed regions,35-39,1955,0.03095103131543329,0.0266904202769455
More developed regions,35-39,1960,0.0366193955333417,0.031581991498835046
More developed regions,35-39,1965,0.03654678551329162,0.03496499155824809
More developed regions,35-39,1970,0.03254489797739706,0.03265595917707618
More developed regions,35-39,1975,0.0338997762334345,0.03383682400273175
More developed regions,35-39,1980,0.030616013280080064,0.03045813691112576
More developed regions,35-39,1985,0.03629384568185855,0.0364777414371857
More developed regions,35-39,1990,0.03770896805789561,0.03798570069226807
More developed regions,35-39,1995,0.03856414816841673,0.03887796285528611
More developed regions,35-39,2000,0.038069239902689504,0.03851691531445411
More developed regions,35-39,2005,0.03590183375316528,0.036302920740249454
More developed regions,35-39,2010,0.03507298537053114,0.03523495911782618
More developed regions,35-39,2015,0.033892532263160115,0.033937096287737174
More developed regions,35-39,2020,0.033963556285763204,0.034370371301164056
More developed regions,35-39,2025,0.03377521065125142,0.034567249992586827
More developed regions,35-39,2030,0.031233087196969225,0.03224707777867634
More developed regions,35-39,2035,0.02872415171830177,0.029574277296212478
More developed regions,35-39,2040,0.02838311259564221,0.02918475938944343
More developed regions,35-39,2045,0.02974309069676917,0.030581549240949787
More developed regions,35-39,2050,0.029785688056191452,0.03062480955692197
More developed regions,35-39,2055,0.029111200594673217,0.02990713333129248
More developed regions,35-39,2060,0.028472896296471664,0.02925811059289598
More developed regions,35-39,2065,0.028023968630039815,0.028807900253428907
More developed regions,35-39,2070,0.027888757511562844,0.028686854834787476
More developed regions,35-39,2075,0.028127043534846047,0.02895146101986046
More developed regions,35-39,2080,0.028401626022785186,0.029253963731505597
More developed regions,35-39,2085,0.028403861349607443,0.029269602362018005
More developed regions,35-39,2090,0.028123509555333753,0.028987313978430625
More developed regions,35-39,2095,0.027771166105925418,0.028629164549144735
More developed regions,35-39,2100,0.027526386385244038,0.02838148769948011
More developed regions,40-44,1950,0.036426450013499916,0.032156795365847674
More developed regions,40-44,1955,0.036029522344203695,0.03059935448792846
More developed regions,40-44,1960,0.028654054968379812,0.024651195783247575
More developed regions,40-44,1965,0.03436393054589996,0.029546131691329823
More developed regions,40-44,1970,0.03467489312838576,0.03311706147931535
More developed regions,40-44,1975,0.031134647190899777,0.030992527760979917
More developed regions,40-44,1980,0.03269148741697642,0.03213291897710885
More developed regions,40-44,1985,0.029643995758735945,0.02923314572976115
More developed regions,40-44,1990,0.03528821223734407,0.035170360799993014
More developed regions,40-44,1995,0.0369027259978794,0.036694941341450904
More developed regions,40-44,2000,0.03791019732219418,0.03772001942170771
More developed regions,40-44,2005,0.037595495917182566,0.03758143719804766
More developed regions,40-44,2010,0.03513615513197621,0.035101330776307775
More developed regions,40-44,2015,0.03460157772562726,0.03449971709802255
More developed regions,40-44,2020,0.03360936020092578,0.03346014233813396
More developed regions,40-44,2025,0.0338290537197757,0.034016333958121016
More developed regions,40-44,2030,0.03375639964914682,0.034336489353098895
More developed regions,40-44,2035,0.03132654526821656,0.03218132906847199
More developed regions,40-44,2040,0.028908999106692042,0.029641511632423196
More developed regions,40-44,2045,0.028622031919034643,0.029315687037757884
More developed regions,40-44,2050,0.030024767366455454,0.030752162261409005
More developed regions,40-44,2055,0.03010572404368368,0.03083729141106943
More developed regions,40-44,2060,0.02945934641760774,0.030160120583662808
More developed regions,40-44,2065,0.02883091039217211,0.029533909803429938
More developed regions,40-44,2070,0.028371921325622912,0.02908630214641139
More developed regions,40-44,2075,0.02821828974192531,0.028952261425185713
More developed regions,40-44,2080,0.02842891367071032,0.029192967812614115
More developed regions,40-44,2085,0.02867716863300539,0.029471367444761785
More developed regions,40-44,2090,0.028655143376252776,0.029466669133147327
More developed regions,40-44,2095,0.02835897947236714,0.029173555313961493
More developed regions,40-44,2100,0.02800296070793388,0.028815467689787887
More developed regions,45-49,1950,0.032823200215998626,0.028751135220048598
More developed regions,45-49,1955,0.033404671286281135,0.029156785396157004
More developed regions,45-49,1960,0.03337171043657138,0.02806912243750989
More developed regions,45-49,1965,0.026733248915814214,0.022795833747144702
More developed regions,45-49,1970,0.03262224417003073,0.027720677116335614
More developed regions,45-49,1975,0.0329392778043788,0.03106120292174656
More developed regions,45-49,1980,0.029860791819234327,0.02893384518514005
More developed regions,45-49,1985,0.031405806800016506,0.030394828671949706
More developed regions,45-49,1990,0.028520920812563837,0.027874047367548078
More developed regions,45-49,1995,0.03418356876560523,0.033531997126928205
More developed regions,45-49,2000,0.03610519025784253,0.0353133433359055
More developed regions,45-49,2005,0.037129077235294995,0.036337654046347465
More developed regions,45-49,2010,0.03691867622095811,0.03634852863047957
More developed regions,45-49,2015,0.03449016766418461,0.03412649339218968
More developed regions,45-49,2020,0.034133978792214914,0.03375779270654501
More developed regions,45-49,2025,0.033305449386735256,0.03289811486833419
More developed regions,45-49,2030,0.03363353882713016,0.033561222014170985
More developed regions,45-49,2035,0.03364789273666681,0.03398250837509559
More developed regions,45-49,2040,0.03132714491008661,0.03199285353633433
More developed regions,45-49,2045,0.028987933047878552,0.029578045932269367
More developed regions,45-49,2050,0.028750459016649608,0.029312217265276466
More developed regions,45-49,2055,0.03019128288815261,0.03078548513827173
More developed regions,45-49,2060,0.030302169401106402,0.030904298555047862
More developed regions,45-49,2065,0.0296680033705886,0.030252778275889975
More developed regions,45-49,2070,0.029032883044856895,0.02963643916242038
More developed regions,45-49,2075,0.028557661599834156,0.02918437896951016
More developed regions,45-49,2080,0.02837995642002111,0.02903405739234421
More developed regions,45-49,2085,0.02856623802974387,0.029252721618043424
More developed regions,45-49,2090,0.028791872195551165,0.02951170921479856
More developed regions,45-49,2095,0.028755411742758075,0.02949600833713951
More developed regions,45-49,2100,0.028457032364459612,0.02920685334771361
More developed regions,50-54,1950,0.028472546083797647,0.024128028276183697
More developed regions,50-54,1955,0.03039343845077103,0.026256608400911582
More developed regions,50-54,1960,0.031010154472387582,0.026610064986440696
More developed regions,50-54,1965,0.031013092991690666,0.02560871652266031
More developed regions,50-54,1970,0.02503636758480564,0.020959826585869645
More developed regions,50-54,1975,0.03088474591144338,0.025662572228146514
More developed regions,50-54,1980,0.03143124622620083,0.0287325758960638
More developed regions,50-54,1985,0.02854151827923808,0.0270263966658354
More developed regions,50-54,1990,0.030073940864767657,0.028559331651404177
More developed regions,50-54,1995,0.02760030098847351,0.026394636932653828
More developed regions,50-54,2000,0.033336671264035084,0.032042451746565226
More developed regions,50-54,2005,0.03517656924249967,0.033578010178512654
More developed regions,50-54,2010,0.03611285682816529,0.03458868386611898
More developed regions,50-54,2015,0.035966350978299706,0.03485225036387322
More developed regions,50-54,2020,0.03378370949324043,0.03301720089279404
More developed regions,50-54,2025,0.03363240946951312,0.032880947513152535
More developed regions,50-54,2030,0.032930588301161426,0.032169317764741745
More developed regions,50-54,2035,0.03334355554347868,0.03292431553245422
