sex,year,age,pop,pcnt
Female,1990,5-9,280585,0.05266991225279155
Female,1990,10-14,258206,0.048469046325157424
Female,1990,15-19,253753,0.04763315303342165
Female,1990,20-24,240489,0.045143306049010415
Female,1990,25-29,215159,0.04038849421885837
Female,1990,30-34,189532,0.035577931140638626
Female,1990,35-39,172362,0.032354870772548984
Female,1990,40-44,139003,0.026092898098169125
Female,1990,45-49,112990,0.021209877168925344
Female,1990,50-54,106782,0.020044544684062183
Female,1990,55-59,93546,0.017559953709569785
Female,1990,60-64,82403,0.015468249476510798
Female,1990,65-69,67299,0.012633007554575686
Female,1990,70-74,48128,0.009034330191928834
Female,1990,75-79,37462,0.00703216584213011
Female,1990,80-84,22263,0.004179091029398928
Female,1990,85-89,9848,0.0018486137743125655
Female,1990,90-94,2955,5.546967610777448e-4
Female,1990,95-99,595,1.1169021077538347e-4
Female,1990,100+,74,1.3890883356938449e-5
Female,1995,0-4,300117,0.05224685300612164
Female,1995,5-9,306503,0.05335858077661479
Female,1995,10-14,279136,0.048594306756087696
Female,1995,15-19,256440,0.04464319910198301
Female,1995,20-24,250736,0.043650199539989123
Female,1995,25-29,237985,0.04143039985293022
Female,1995,30-34,213331,0.03713842734216634
Female,1995,35-39,187490,0.03263981204036341
Female,1995,40-44,170029,0.029600056543874077
Female,1995,45-49,136300,0.023728232871627997
Female,1995,50-54,110085,0.019164508552260952
Female,1995,55-59,102660,0.01787190305650279
Female,1995,60-64,88146,0.015345185727824808
Female,1995,65-69,75008,0.013058013875532449
Female,1995,70-74,57818,0.010065436303534759
Female,1995,75-79,37800,0.006580537069314294
Female,1995,80-84,25574,0.004452133730440311
Female,1995,85-89,12139,0.0021132576583176247
Female,1995,90-94,3906,6.799888304958104e-4
Female,1995,95-99,769,1.338738890556268e-4
Female,1995,100+,98,1.7060651661185208e-5
Female,2000,0-4,297524,0.048429095025194935
Female,2000,5-9,294721,0.04797284022438686
Female,2000,10-14,304908,0.04963101634134435
Female,2000,15-19,277325,0.0451412281962537
Female,2000,20-24,253615,0.041281862756667745
Female,2000,25-29,248521,0.04045269331131764
Female,2000,30-34,235956,0.0384074412342026
Female,2000,35-39,211272,0.03438953416921991
Female,2000,40-44,184962,0.030106956998595426
Female,2000,45-49,167017,0.02718598218571605
Female,2000,50-54,132979,0.021645489531450898
Female,2000,55-59,105959,0.017247343003504355
Female,2000,60-64,97027,0.015793447933644306
Female,2000,65-69,80659,0.01312916731301407
Female,2000,70-74,65038,0.010586478678186056
Female,2000,75-79,46157,0.007513147642132812
Female,2000,80-84,26132,0.004253603444422615
Female,2000,85-89,14206,0.002312363788897431
Female,2000,90-94,4927,8.019862303180094e-4
Female,2000,95-99,1033,1.6814527621646108e-4
Female,2000,100+,123,2.002117035297649e-5
Female,2005,0-4,302684,0.046268465754710365
Female,2005,5-9,293423,0.044852823496267985
Female,2005,10-14,293769,0.04490571327290345
Female,2005,15-19,302955,0.04630989098438727
Female,2005,20-24,274399,0.04194480294507397
Female,2005,25-29,251352,0.03842182409502306
Female,2005,30-34,246135,0.03762435020858597
Female,2005,35-39,233387,0.035675682946883835
Female,2005,40-44,208210,0.03182711096320996
Female,2005,45-49,181232,0.027703236991904655
Female,2005,50-54,163015,0.02491857496598469
Female,2005,55-59,128637,0.019663532361435282
Female,2005,60-64,100378,0.015343843928077852
Female,2005,65-69,88844,0.0135807494664782
Female,2005,70-74,70150,0.010723172921901825
Female,2005,75-79,52051,0.00795654844986332
Female,2005,80-84,32442,0.004959104432392573
Female,2005,85-89,14859,0.0022713560434289267
Female,2005,90-94,5981,9.142594047882368e-4
Female,2005,95-99,1350,2.0636184525399092e-4
Female,2005,100+,169,2.5833445813277382e-5
Female,2010,0-4,314831,0.045254983415566725
Female,2010,5-9,298887,0.04296313332590657
Female,2010,10-14,292350,0.04202348053889526
Female,2010,15-19,291785,0.0419422653293708
Female,2010,20-24,299587,0.0430637539394767
Female,2010,25-29,272497,0.03916973619431278
Female,2010,30-34,249103,0.03580699528879913
Female,2010,35-39,243873,0.03505521556169661
Female,2010,40-44,230557,0.033141124004125444
Female,2010,45-49,205214,0.029498226561685825
Female,2010,50-54,177498,0.025514225239243477
Female,2010,55-59,157643,0.022660193407193656
Female,2010,60-64,121964,0.017531560733524274
Female,2010,65-69,92683,0.013322600467885854
Female,2010,70-74,78080,0.011223510725079329
Female,2010,75-79,56919,0.008181749576854384
Female,2010,80-84,37766,0.005428625845842033
Female,2010,85-89,19277,0.002770947953987631
Female,2010,90-94,6608,9.498585921020006e-4
Female,2010,95-99,1760,2.5298897126203407e-4
Female,2010,100+,237,3.406726488017163e-5
Female,2015,0-4,324427,0.04396153712733367
Female,2015,5-9,311369,0.04219211056354976
Female,2015,10-14,297197,0.04027173123578551
Female,2015,15-19,290910,0.039419810206032906
Female,2015,20-24,290007,0.0392974490337939
Female,2015,25-29,297821,0.04035628646444236
Female,2015,30-34,270534,0.03665875677796881
Female,2015,35-39,247008,0.03347086205139657
Female,2015,40-44,241397,0.03271054251935556
Female,2015,45-49,227487,0.030825665547213256
Female,2015,50-54,201180,0.027260930931386686
Female,2015,55-59,172317,0.023349845090484937
Female,2015,60-64,150610,0.02040843427565438
Female,2015,65-69,113307,0.01535368476509907
Female,2015,70-74,82434,0.011170233524196887
Female,2015,75-79,64521,0.00874292934001392
Female,2015,80-84,41932,0.0056820029616010855
Female,2015,85-89,23211,0.003145210596721425
Female,2015,90-94,9010,0.0012209016189074163
Female,2015,95-99,2087,2.827992984084104e-4
Female,2015,100+,332,4.49877178110169e-5
Female,2020,0-4,328509,0.042144634884794994
Female,2020,5-9,321512,0.041246985169600243
Female,2020,10-14,309770,0.039740596294965874
Female,2020,15-19,295553,0.03791668804844255
Female,2020,20-24,289101,0.03708895674039103
Female,2020,25-29,288633,0.037028916713706575
Female,2020,30-34,296294,0.038011751424026276
Female,2020,35-39,268372,0.034429619746497664
Female,2020,40-44,244400,0.03135423615743829
